work	abi	이름	Lv	갈래	핸들러	호출VA	생성자	종류	Obs	모션	자리	x	y	z	붙일곳	단계	지연	수명	그림	영상	영상인자
3	8	오버 드라이브	1	준비	0x1007def0	0x1007dffc	0x100c1fa0	sound	1338	1	self	나.x	나.y	나.z	맵	0	0	-	-	-	-
3	8	오버 드라이브	1	준비	0x1007def0	0x1007e055	0x100d0770	mov	-	-	self	0	0	0	나	0	-	-	-	Mov\0041.mov	17,0,0,4294967168,4294967056,0
3	8	오버 드라이브	1	핸들러	0x10081fd0	0x10082055	0x100c1fa0	sound	1329	0	self	나.x	나.y	나.z	맵	0	0	-	-	-	-
3	8	오버 드라이브	1	핸들러	0x10081fd0	0x100820ad	0x100cc200	emit	8	3	self	나.x	나.y	나.z	맵	0	-	-	8:3	-	-
3	8	오버 드라이브	1	핸들러	0x10081fd0	0x10082141	0x100cc200	emit	8	3	self	나.x	나.y	나.z	맵	0	-	-	8:3	-	-
3	8	오버 드라이브	1	핸들러	0x10081fd0	0x100821cb	0x100cc600	emit	8	0	self	나.x	나.y	나.z	맵	0	-	-	8:0	-	-
3	8	오버 드라이브	1	핸들러	0x10081fd0	0x10082283	0x100c5c50	obs	8	4	self	나.x	나.y	나.z+100	맵	0	0	-	8:4	-	-
3	8	오버 드라이브	1	핸들러	0x10081fd0	0x100823d6	0x100c1fa0	obs?	1329	esp+0x1c-20	self	나.x	나.y	나.z	맵	0	0	-	-	-	-
3	8	오버 드라이브	1	핸들러	0x10081fd0	0x1008243e	0x100c1fa0	obs	396	4	self	나.x	나.y	나.z+40	맵	0	0	-	396:4	-	-
3	8	오버 드라이브	1	핸들러	0x10081fd0	0x100824ae	0x100c1fa0	obs	396	4	self	나.x	나.y	나.z+40	맵	0	0	-	396:4	-	-
3	8	오버 드라이브	1	핸들러	0x10081fd0	0x10082521	0x100c64b0	body:self	나.애니+0x8+0x0	나.애니+0xe	self	나.x	나.y	나.z	ds:0x101be2d8	0	10	10	-	-	-
7	6	폭	1	핸들러	0x10083580	0x10083660	0x100c6f70	code	-	-	self	나.x	나.y	나.z	맵	0	4	-	-	-	-
7	6	폭	1	핸들러	0x10083580	0x100837f5	0x100c6f70	code	-	-	self	나.x	나.y	나.z	맵	0	4	-	-	-	-
7	6	폭	1	핸들러	0x10083580	0x100838b3	0x100cd490	emit	110	0	self	나.x+?	나.y+?	나.z	맵	0	-	-	110:0	-	-
7	6	폭	1	핸들러	0x10083580	0x10083923	0x100c1fa0	obs	170	0	cell	0.x	0.y	나.z	맵	0	-	-	170:0	-	-
7	6	폭	1	핸들러	0x10083580	0x1008398a	0x100c1fa0	obs	170	1	cell	0.x	0.y	나.z	맵	0	0	-	170:1	-	-
7	6	폭	1	핸들러	0x10083580	0x10083a0c	0x100cd490	emit	110	0	self	나.x-?	나.y-?	나.z	맵	0	-	-	110:0	-	-
7	6	폭	1	핸들러	0x10083580	0x10083a7c	0x100c1fa0	obs	170	0	cell	0.x	0.y	나.z	맵	0	-	-	170:0	-	-
7	6	폭	1	핸들러	0x10083580	0x10083ae3	0x100c1fa0	obs	170	1	cell	0.x	0.y	나.z	맵	0	0	-	170:1	-	-
7	6	폭	1	핸들러	0x10083580	0x10083b97	0x100c6f70	code	-	-	self	나.x	나.y	나.z	맵	0	4	-	-	-	-
7	6	폭	1	핸들러	0x10083580	0x10083c54	0x100cd490	emit	110	0	self	나.x+?	나.y-?	나.z	맵	0	-	-	110:0	-	-
7	6	폭	1	핸들러	0x10083580	0x10083cc4	0x100c1fa0	obs	170	0	cell	0.x	0.y	나.z	맵	0	-	-	170:0	-	-
7	6	폭	1	핸들러	0x10083580	0x10083d2b	0x100c1fa0	obs	170	1	cell	0.x	0.y	나.z	맵	0	0	-	170:1	-	-
7	6	폭	1	핸들러	0x10083580	0x10083dad	0x100cd490	emit	110	0	self	나.x-?	나.y+?	나.z	맵	0	-	-	110:0	-	-
7	6	폭	1	핸들러	0x10083580	0x10083e1d	0x100c1fa0	obs	170	0	cell	0.x	0.y	나.z	맵	0	-	-	170:0	-	-
7	6	폭	1	핸들러	0x10083580	0x10083e84	0x100c1fa0	obs	170	1	cell	0.x	0.y	나.z	맵	0	0	-	170:1	-	-
